Id,Title,Score,Text,CreationDate
"769351","refactoring LINQ IQueryable expression to remove duplicated portions of queries","7","refactoring LINQ IQueryable expression to remove duplicated portions of queries","2009-04-20 17:47:10"
"769351","refactoring LINQ IQueryable expression to remove duplicated portions of queries","7","I have some linq queries that have redundancy I'd like to factor out a single piece of code.  These are join experssions that are IQueryable, and its important I don't cause the query to be evaluated earlier than it would be without the refactoring.

  Here is a simplified query:

    result result = 
    from T in db.Transactions
    join O in db.Orders on T.OrderID equals O.OrderID
    join OD in db.OrderDetails on O.OrderID equals OD.OrderID into OrderDetails
    let FirstProductBought = OrderDetails.First().Select(OD => OD.Product.ProductName)
    select new
    {
      TransactionID = T.TransactionID,
      OrderID = O.OrderID,
      FirstProductBought = FirstProductBought
    };

What I want to factor out is th logic ""given an order, what is the first product bought"".  I am using the same logic in other queries.  How can I factor it out into a shared method?

Generally, for code reuse and IQueryables, what I've been able to do is code that takes an IQueryable going in and produces an IQueryable/IOrderedQueryable as output.  With such functions I can build up LINQ expressions with reusable code that still defer query until the query is fully constructed.  Here, since I only have an int (the orderID) I'm not sure how to make it work.

thanks
","2009-04-20 17:47:10"
"769351","refactoring LINQ IQueryable expression to remove duplicated portions of queries","7","<linq><linq-to-sql><iqueryable>","2009-04-20 17:47:10"
"769351","refactoring LINQ IQueryable expression to remove duplicated portions of queries","7","I have some linq queries that have redundancy I'd like to factor out a single piece of code.  These are join experssions that are IQueryable, and its important I don't cause the query to be evaluated earlier than it would be without the refactoring.

  Here is a simplified query:

    var result = 
    from T in db.Transactions
    join O in db.Orders on T.OrderID equals O.OrderID
    join OD in db.OrderDetails on O.OrderID equals OD.OrderID into OrderDetails
    let FirstProductBought = OrderDetails.First().Select(OD => OD.Product.ProductName)
    select new
    {
      TransactionID = T.TransactionID,
      OrderID = O.OrderID,
      FirstProductBought = FirstProductBought
    };

What I want to factor out is th logic ""given an order, what is the first product bought"".  I am using the same logic in other queries.  How can I factor it out into a shared method?

Generally, for code reuse and IQueryables, what I've been able to do is code that takes an IQueryable going in and produces an IQueryable/IOrderedQueryable as output.  With such functions I can build up LINQ expressions with reusable code that still defer query until the query is fully constructed.  Here, since I only have an int (the orderID) I'm not sure how to make it work.

thanks
","2009-04-21 04:30:40"
"769351","refactoring LINQ IQueryable expression to remove duplicated portions of queries","7","<linq><linq-to-sql><iqueryable><.net>","2009-05-02 01:59:34"
"6033146","refactoring large cursor queries by splitting into multiple cursors","6","refactoring large cursor queries by splitting into multiple cursors","2011-05-17 15:22:08"
"6033146","refactoring large cursor queries by splitting into multiple cursors","6","Another PL/SQL refactoring question!

I have several cursors that are of the general simplified form:

    cursor_1 is
      with X as (select col1, col2 from TAB where col1 = '1'),
           Y as (select col1, col2 from TAB where col2 = '3'),
      /*main select*/
      select ...
      from X, Y,...
      group by rollup...

    cursor_2 is
      with X as (select col1, col2 from TAB where col1 = '7' and col2 = '9' and col3 = 'TEST'),
           Y as (select col1, col2 from TAB where col3 = '6'),
      /*main select*/
      select ...
      from X, Y,...
      group by rollup...


    cursor_2 is
      with X as (select col1, col2 from TAB where col1 IS NULL ),
           Y as (select col1, col2 from TAB where col2 IS NOT NULL ),
      /*main select*/
      select ...
      from X, Y,...
      group by rollup...


    ...
    begin
        for r in cursor_1 loop
           print_report_results(r);
        end loop;

        for r in cursor_2 loop
           print_report_results(r);
        end loop;
        ...
    end;
Basically, all of these cursors (there's more than 3) are the same summary/reporting queries. The difference is in the factored subqueries. There are always 2 factored subqueries, ""X"" and ""Y"", and they always select the same columns to feed into the main reporting query.

The problem is that the main reporting query is VERY large, about 70 lines. This itself isn't so bad, but it was copy-pasted for ALL of the reporting queries (I think there's over a dozen).

Since the only difference is in the factored subqueries (and they all return the same columns, it's really just a difference in the tables they select from and their conditions) I was hoping to find a way to refactor all this so that there is ONE query for the giant report and smaller ones for the various factored subqueries so that when changes are made to the way the report is done, I only have to do it in one place, not a dozen. Not to mention a much easier-to-navigate (and read) file!

I just don't know how to properly refactor something like this. I was thinking pipelined functions? I'm not sure they're appropriate for this though, or if there's a simpler way...

On the other hand, I also wonder if performance would be significantly worse by splitting out the reporting query. Performance (speed) *is* an issue for this system. I'd rather not introduce changes for developer convenience if it adds significant execution time.

(Using Oracle 10g)","2011-05-17 15:22:08"
"6033146","refactoring large cursor queries by splitting into multiple cursors","6","<oracle><plsql><refactoring>","2011-05-17 15:22:08"
"6033146","refactoring large cursor queries by splitting into multiple cursors","6","Another PL/SQL refactoring question!

I have several cursors that are of the general simplified form:

    cursor_1 is
      with X as (select col1, col2 from TAB where col1 = '1'),
           Y as (select col1, col2 from TAB where col2 = '3'),
      /*main select*/
      select ...
      from X, Y,...
      group by rollup...

    cursor_2 is
      with X as (select col1, col2 from TAB where col1 = '7' and col2 = '9' and col3 = 'TEST'),
           Y as (select col1, col2 from TAB where col3 = '6'),
      /*main select*/
      select ...
      from X, Y,...
      group by rollup...


    cursor_2 is
      with X as (select col1, col2 from TAB where col1 IS NULL ),
           Y as (select col1, col2 from TAB where col2 IS NOT NULL ),
      /*main select*/
      select ...
      from X, Y,...
      group by rollup...


    ...
    begin
        for r in cursor_1 loop
           print_report_results(r);
        end loop;

        for r in cursor_2 loop
           print_report_results(r);
        end loop;
        ...
    end;
Basically, all of these cursors (there's more than 3) are the same summary/reporting queries. The difference is in the factored subqueries. There are always 2 factored subqueries, ""X"" and ""Y"", and they always select the same columns to feed into the main reporting query.

The problem is that the main reporting query is VERY large, about 70 lines. This itself isn't so bad, but it was copy-pasted for ALL of the reporting queries (I think there's over a dozen).

Since the only difference is in the factored subqueries (and they all return the same columns, it's really just a difference in the tables they select from and their conditions) I was hoping to find a way to refactor all this so that there is ONE query for the giant report and smaller ones for the various factored subqueries so that when changes are made to the way the report is done, I only have to do it in one place, not a dozen. Not to mention a much easier-to-navigate (and read) file!

I just don't know how to properly refactor something like this. I was thinking pipelined functions? I'm not sure they're appropriate for this though, or if there's a simpler way...

On the other hand, I also wonder if performance would be significantly worse by splitting out the reporting query. Performance (speed) *is* an issue for this system. I'd rather not introduce changes for developer convenience if it adds significant execution time.

***
I guess what I'd ultimately like is something that looks sort of like this (I'm just not sure how to do this so that it will actually compile):

    cursor main_report_cursor (in_X, in_Y) is
        with X as (select * from in_X),
             Y as (select * from in_Y)
      /*main select*/
      select ...
      from X, Y,...
      group by rollup...

    cursor x_1 is
         select col1, col2 from TAB where col1 = '1';
    cursor y_1 is
         select col1, col2 from TAB where col2 = '3'

    ...
    begin
    for r in main_report_cursor(x_1,y_1) loop
       print_report_results(r);
    end loop;

    for r in main_report_cursor(x_2,y_2) loop
       print_report_results(r);
    end loop;
    ...

(Using Oracle 10g)","2011-05-17 17:44:58"
"6033146","refactoring large cursor queries by splitting into multiple cursors","6","Another PL/SQL refactoring question!

I have several cursors that are of the general simplified form:

    cursor_1 is
      with X as (select col1, col2 from TAB where col1 = '1'),
           Y as (select col1, col2 from TAB where col2 = '3'),
      /*main select*/
      select count(X.col1), ...
      from X inner join Y on...
      group by rollup (X.col1, ...

    cursor_2 is
      with X as (select col1, col2 from TAB where col1 = '7' and col2 = '9' and col3 = 'TEST'),
           Y as (select col1, col2 from TAB where col3 = '6'),
      /*main select*/
      select count(X.col1), ...
      from X inner join Y on...
      group by rollup (X.col1, ...


    cursor_2 is
      with X as (select col1, col2 from TAB where col1 IS NULL ),
           Y as (select col1, col2 from TAB where col2 IS NOT NULL ),
      /*main select*/
      select count(X.col1), ...
      from X inner join Y on...
      group by rollup (X.col1, ...


    ...
    begin
        for r in cursor_1 loop
           print_report_results(r);
        end loop;

        for r in cursor_2 loop
           print_report_results(r);
        end loop;
        ...
    end;
Basically, all of these cursors (there's more than 3) are the same summary/reporting queries. The difference is in the factored subqueries. There are always 2 factored subqueries, ""X"" and ""Y"", and they always select the same columns to feed into the main reporting query.

The problem is that the main reporting query is VERY large, about 70 lines. This itself isn't so bad, but it was copy-pasted for ALL of the reporting queries (I think there's over a dozen).

Since the only difference is in the factored subqueries (and they all return the same columns, it's really just a difference in the tables they select from and their conditions) I was hoping to find a way to refactor all this so that there is ONE query for the giant report and smaller ones for the various factored subqueries so that when changes are made to the way the report is done, I only have to do it in one place, not a dozen. Not to mention a much easier-to-navigate (and read) file!

I just don't know how to properly refactor something like this. I was thinking pipelined functions? I'm not sure they're appropriate for this though, or if there's a simpler way...

On the other hand, I also wonder if performance would be significantly worse by splitting out the reporting query. Performance (speed) *is* an issue for this system. I'd rather not introduce changes for developer convenience if it adds significant execution time.

***
I guess what I'd ultimately like is something that looks sort of like this (I'm just not sure how to do this so that it will actually compile):

    cursor main_report_cursor (in_X, in_Y) is
        with X as (select * from in_X),
             Y as (select * from in_Y)
      /*main select*/
      select count(X.col1), ...
      from X inner join Y on...
      group by rollup (X.col1, ...

    cursor x_1 is
         select col1, col2 from TAB where col1 = '1';
    cursor y_1 is
         select col1, col2 from TAB where col2 = '3'

    ...
    begin
    for r in main_report_cursor(x_1,y_1) loop
       print_report_results(r);
    end loop;

    for r in main_report_cursor(x_2,y_2) loop
       print_report_results(r);
    end loop;
    ...

(Using Oracle 10g)","2011-05-17 17:55:05"
"6823936","refactoring a whole class name in whole xcode project","6","refactoring a whole class name in whole xcode project","2011-07-26 00:17:53"
"6823936","refactoring a whole class name in whole xcode project","6","I just changed my class name from Group.h to CVGroup.h and therefore everything is affected in my code. Is it possible to refactor the whole project so that Group is refactored into CVGroup?","2011-07-26 00:17:53"
"6823936","refactoring a whole class name in whole xcode project","6","<iphone><objective-c><xcode>","2011-07-26 00:17:53"
"1409432","refactoring Java arrays and primitives (double[][]) to Collections and Generics (List<List<Double>>)","5","refactoring Java arrays and primitives (double[][]) to Collections and Generics (List<List<Double>>)","2009-09-11 07:15:28"
"1409432","refactoring Java arrays and primitives (double[][]) to Collections and Generics (List<List<Double>>)","5","I have been refactoring throwaway code which I wrote some years ago in a FORTRAN-like style. Most of the code is now much more organized and readable. However the heart of the algorithm (which is performance-critical) uses 1- and 2-dimensional Java arrays and is typified by:

           for (int j = 1; j < len[1]+1; j++) {
            int jj = (cont == BY_TYPE) ? seq[1][j-1] : j-1;
            for (int i = 1; i < len[0]+1; i++) {
                matrix[i][j] = matrix[i-1][j] + gap;
                double m = matrix[i][j-1] + gap;
                if (m > matrix[i][j]) {
                    matrix[i][j] = m;
                    pointers[i][j] = UP;
                }

For clarity, maintainability and interfacing with the rest of the code I would like to refactor it. However on reading [Java Generics Syntax for arrays][1] and   [Java Generics and number][2]s I have the following concerns:

 - Performance. The code is planned to use about 10^8 - 10^9 secs/yr and this is just about manageable. My reading suggests that changing double to Double can sometimes add a factor of 3 in performance. I'd like other experience on this. I would also expect that moving from foo[] to List<Foo> would be a hit as well. I have no first-hand knowledge and again experience would be useful. 

 - Array-bound checking. Is this treated differently in double[] and List<Double> and does it matter? I expect some problems to violate bounds as the algorithm is fairly simple and has only been applied to a few data sets.

 - If I don't refactor then the code has an ugly and possibly fragile intermixture of the two approaches. I am already trying to write things such as:

    List&lt;double[]&gt; and
    List&lt;Double&gt;[]

and understand that the erasure does not make this pretty and at best gives rise to compiler warnings. It seems difficult to do this without very convoluted constructs.

 - Obsolescence. One poster suggested that Java arrays should be obsoleted. I assume this isn't going to happen RSN but I would like to move away from outdated approaches.

  [1]: http://stackoverflow.com/questions/185594/java-generics-syntax-for-arrays
  [2]: http://stackoverflow.com/questions/877897/java-generics-and-numbers

","2009-09-11 07:15:28"
"1409432","refactoring Java arrays and primitives (double[][]) to Collections and Generics (List<List<Double>>)","5","<java><generics><collections><arrays>","2009-09-11 07:15:28"
"1409432","refactoring Java arrays and primitives (double[][]) to Collections and Generics (List<List<Double>>)","5","I have been refactoring throwaway code which I wrote some years ago in a FORTRAN-like style. Most of the code is now much more organized and readable. However the heart of the algorithm (which is performance-critical) uses 1- and 2-dimensional Java arrays and is typified by:

        for (int j = 1; j < len[1]+1; j++) {
            int jj = (cont == BY_TYPE) ? seq[1][j-1] : j-1;
            for (int i = 1; i < len[0]+1; i++) {
                matrix[i][j] = matrix[i-1][j] + gap;
                double m = matrix[i][j-1] + gap;
                if (m > matrix[i][j]) {
                    matrix[i][j] = m;
                    pointers[i][j] = UP;
                }
                //...
            }
        }

For clarity, maintainability and interfacing with the rest of the code I would like to refactor it. However on reading [Java Generics Syntax for arrays][1] and   [Java Generics and number][2]s I have the following concerns:

 - Performance. The code is planned to use about 10^8 - 10^9 secs/yr and this is just about manageable. My reading suggests that changing double to Double can sometimes add a factor of 3 in performance. I'd like other experience on this. I would also expect that moving from foo[] to List<Foo> would be a hit as well. I have no first-hand knowledge and again experience would be useful. 

 - Array-bound checking. Is this treated differently in double[] and List<Double> and does it matter? I expect some problems to violate bounds as the algorithm is fairly simple and has only been applied to a few data sets.

 - If I don't refactor then the code has an ugly and possibly fragile intermixture of the two approaches. I am already trying to write things such as:

    List&lt;double[]&gt; and
    List&lt;Double&gt;[]

and understand that the erasure does not make this pretty and at best gives rise to compiler warnings. It seems difficult to do this without very convoluted constructs.

 - Obsolescence. One poster suggested that Java arrays should be obsoleted. I assume this isn't going to happen RSN but I would like to move away from outdated approaches.

  [1]: https://stackoverflow.com/questions/185594/java-generics-syntax-for-arrays
  [2]: https://stackoverflow.com/questions/877897/java-generics-and-numbers


**SUMMARY** The consensus so far:

 - Collections have a significant performance hit over primitive arrays, especially for constructs such as matrices. This is incurred in auto(un)boxing numerics and in accessing list items

 - For tight numerical (scientific) algorithms the array notation [][] is actually easier to read but the variables should named as helpfully as possible

 - Generics and arrays do not mix well. It may be useful to wrap the arrays in classes to transport them in/out of the tight algorithm.

There is little objective reason to make the change

**QUESTION** @SeanOwen has suggested that it would be useful to take constant values out of the loops. Assuming I haven't goofed this would look like:


     int len1 = len[1];
     int len0 = len[0];
     int seq1 = seq[1];
     int[] pointersi;
     double[] matrixi;
     for (int i = 1; i < len0+1; i++) {
         matrixi = matrix[i];
         pointersi = pointers[i];
     }
     for (int j = 1; j < len1+1; j++) {
        int jj = (cont == BY_TYPE) ? seq1[j-1] : j-1;
        for (int i = 1; i < len0+1; i++) {
            matrixi[j] = matrixi[j] + gap;
            double m = matrixi[j-1] + gap;
            if (m > matrixi[j]) {
                matrixi[j] = m;
                pointersi[j] = UP;
            }
            //...
        }
    }

I thought compilers were meant to be smart at doing this sort of thing. Do we need to still do this?
","2017-05-23 12:07:46"
"1409432","refactoring Java arrays and primitives (double[][]) to Collections and Generics (List<List<Double>>)","5","I have been refactoring throwaway code which I wrote some years ago in a FORTRAN-like style. Most of the code is now much more organized and readable. However the heart of the algorithm (which is performance-critical) uses 1- and 2-dimensional Java arrays and is typified by:

        for (int j = 1; j < len[1]+1; j++) {
            int jj = (cont == BY_TYPE) ? seq[1][j-1] : j-1;
            for (int i = 1; i < len[0]+1; i++) {
                matrix[i][j] = matrix[i-1][j] + gap;
                double m = matrix[i][j-1] + gap;
                if (m > matrix[i][j]) {
                    matrix[i][j] = m;
                    pointers[i][j] = UP;
                }
                //...
            }
        }

For clarity, maintainability and interfacing with the rest of the code I would like to refactor it. However on reading [Java Generics Syntax for arrays][1] and   [Java Generics and number][2]s I have the following concerns:

 - Performance. The code is planned to use about 10^8 - 10^9 secs/yr and this is just about manageable. My reading suggests that changing double to Double can sometimes add a factor of 3 in performance. I'd like other experience on this. I would also expect that moving from foo[] to List<Foo> would be a hit as well. I have no first-hand knowledge and again experience would be useful. 

 - Array-bound checking. Is this treated differently in double[] and List<Double> and does it matter? I expect some problems to violate bounds as the algorithm is fairly simple and has only been applied to a few data sets.

 - If I don't refactor then the code has an ugly and possibly fragile intermixture of the two approaches. I am already trying to write things such as:

    List&lt;double[]&gt; and
    List&lt;Double&gt;[]

and understand that the erasure does not make this pretty and at best gives rise to compiler warnings. It seems difficult to do this without very convoluted constructs.

 - Obsolescence. One poster suggested that Java arrays should be obsoleted. I assume this isn't going to happen RSN but I would like to move away from outdated approaches.

  [1]: http://stackoverflow.com/questions/185594/java-generics-syntax-for-arrays
  [2]: http://stackoverflow.com/questions/877897/java-generics-and-numbers


","2009-09-11 07:37:44"
"1409432","refactoring Java arrays and primitives (double[][]) to Collections and Generics (List<List<Double>>)","5","I have been refactoring throwaway code which I wrote some years ago in a FORTRAN-like style. Most of the code is now much more organized and readable. However the heart of the algorithm (which is performance-critical) uses 1- and 2-dimensional Java arrays and is typified by:

        for (int j = 1; j < len[1]+1; j++) {
            int jj = (cont == BY_TYPE) ? seq[1][j-1] : j-1;
            for (int i = 1; i < len[0]+1; i++) {
                matrix[i][j] = matrix[i-1][j] + gap;
                double m = matrix[i][j-1] + gap;
                if (m > matrix[i][j]) {
                    matrix[i][j] = m;
                    pointers[i][j] = UP;
                }
                //...
            }
        }

For clarity, maintainability and interfacing with the rest of the code I would like to refactor it. However on reading [Java Generics Syntax for arrays][1] and   [Java Generics and number][2]s I have the following concerns:

 - Performance. The code is planned to use about 10^8 - 10^9 secs/yr and this is just about manageable. My reading suggests that changing double to Double can sometimes add a factor of 3 in performance. I'd like other experience on this. I would also expect that moving from foo[] to List<Foo> would be a hit as well. I have no first-hand knowledge and again experience would be useful. 

 - Array-bound checking. Is this treated differently in double[] and List<Double> and does it matter? I expect some problems to violate bounds as the algorithm is fairly simple and has only been applied to a few data sets.

 - If I don't refactor then the code has an ugly and possibly fragile intermixture of the two approaches. I am already trying to write things such as:

    List&lt;double[]&gt; and
    List&lt;Double&gt;[]

and understand that the erasure does not make this pretty and at best gives rise to compiler warnings. It seems difficult to do this without very convoluted constructs.

 - Obsolescence. One poster suggested that Java arrays should be obsoleted. I assume this isn't going to happen RSN but I would like to move away from outdated approaches.

  [1]: http://stackoverflow.com/questions/185594/java-generics-syntax-for-arrays
  [2]: http://stackoverflow.com/questions/877897/java-generics-and-numbers


**SUMMARY** The consensus so far:

 - Collections have a significant performance hit over primitive arrays, especially for constructs such as matrices. This is incurred in auto(un)boxing numerics and in accessing list items

 - For tight numerical (scientific) algorithms the array notation [][] is actually easier to read but the variables should named as helpfully as possible

 - Generics and arrays do not mix well. It may be useful to wrap the arrays in classes to transport them in/out of the tight algorithm.

There is little objective reason to make the change","2009-09-11 13:27:57"
"1409432","refactoring Java arrays and primitives (double[][]) to Collections and Generics (List<List<Double>>)","5","I have been refactoring throwaway code which I wrote some years ago in a FORTRAN-like style. Most of the code is now much more organized and readable. However the heart of the algorithm (which is performance-critical) uses 1- and 2-dimensional Java arrays and is typified by:

        for (int j = 1; j < len[1]+1; j++) {
            int jj = (cont == BY_TYPE) ? seq[1][j-1] : j-1;
            for (int i = 1; i < len[0]+1; i++) {
                matrix[i][j] = matrix[i-1][j] + gap;
                double m = matrix[i][j-1] + gap;
                if (m > matrix[i][j]) {
                    matrix[i][j] = m;
                    pointers[i][j] = UP;
                }
                //...
            }
        }

For clarity, maintainability and interfacing with the rest of the code I would like to refactor it. However on reading [Java Generics Syntax for arrays][1] and   [Java Generics and number][2]s I have the following concerns:

 - Performance. The code is planned to use about 10^8 - 10^9 secs/yr and this is just about manageable. My reading suggests that changing double to Double can sometimes add a factor of 3 in performance. I'd like other experience on this. I would also expect that moving from foo[] to List<Foo> would be a hit as well. I have no first-hand knowledge and again experience would be useful. 

 - Array-bound checking. Is this treated differently in double[] and List<Double> and does it matter? I expect some problems to violate bounds as the algorithm is fairly simple and has only been applied to a few data sets.

 - If I don't refactor then the code has an ugly and possibly fragile intermixture of the two approaches. I am already trying to write things such as:

    List&lt;double[]&gt; and
    List&lt;Double&gt;[]

and understand that the erasure does not make this pretty and at best gives rise to compiler warnings. It seems difficult to do this without very convoluted constructs.

 - Obsolescence. One poster suggested that Java arrays should be obsoleted. I assume this isn't going to happen RSN but I would like to move away from outdated approaches.

  [1]: http://stackoverflow.com/questions/185594/java-generics-syntax-for-arrays
  [2]: http://stackoverflow.com/questions/877897/java-generics-and-numbers


**SUMMARY** The consensus so far:

 - Collections have a significant performance hit over primitive arrays, especially for constructs such as matrices. This is incurred in auto(un)boxing numerics and in accessing list items

 - For tight numerical (scientific) algorithms the array notation [][] is actually easier to read but the variables should named as helpfully as possible

 - Generics and arrays do not mix well. It may be useful to wrap the arrays in classes to transport them in/out of the tight algorithm.

There is little objective reason to make the change

**QUESTION** @SeanOwen has suggested that it would be useful to take constant values out of the loops. Assuming I haven't goofed this would look like:


     int len1 = len[1];
     int len0 = len[0];
     int seq1 = seq[1];
     int[] pointersi;
     double[] matrixi;
     for (int i = 1; i < len0+1; i++) {
         matrixi = matrix[i];
         pointersi = pointers[i];
     }
     for (int j = 1; j < len1+1; j++) {
        int jj = (cont == BY_TYPE) ? seq1[j-1] : j-1;
        for (int i = 1; i < len0+1; i++) {
            matrixi[j] = matrixi[j] + gap;
            double m = matrixi[j-1] + gap;
            if (m > matrixi[j]) {
                matrixi[j] = m;
                pointersi[j] = UP;
            }
            //...
        }
    }

I thought compilers were meant to be smart at doing this sort of thing. Do we need to still do this?
","2009-09-15 14:50:21"
"1367876","refactor conditions within haml view","5","refactor conditions within haml view","2009-09-02 13:59:43"
"1367876","refactor conditions within haml view","5","beside the fact that accessibility standards discourage the use
of a link pointing to the current page, how I am supposed to 
refactor the following view code?

    #navigation
      %ul.tabbed
        - if current_page?(new_profile_path)
          %li{:class => ""current_page_item""}
            = link_to t(""new_profile""), new_profile_path
        - else
          %li
            = link_to t(""new_profile""), new_profile_path
    
        - if current_page?(profiles_path)
          %li{:class => ""current_page_item""}
            = link_to t(""profiles""), profiles_path
        - else
          %li
            = link_to t(""profiles""), profiles_path
        ...

Thank you.","2009-09-02 13:59:43"
"1367876","refactor conditions within haml view","5","<haml><ruby><ruby-on-rails>","2009-09-02 13:59:43"
"6696469","refactor this basic code that determines if number is in tens, hundreds, thousands etc","4","refactor this basic code that determines if number is in tens, hundreds, thousands etc.","2011-07-14 16:13:09"
"6696469","refactor this basic code that determines if number is in tens, hundreds, thousands etc","4","     if (n>10 && n<100) {
         x = 10;
     } else if (n>100 && n<1000) {
         x = 100;
     } else if (n>1000 && n<10000) {
         x = 1000;
     } else if (n....

etc. etc. 

Is there a nice concise, scalable method for this type of problem? My brain has decided to stop working. ","2011-07-14 16:13:09"
"6696469","refactor this basic code that determines if number is in tens, hundreds, thousands etc","4","<javascript><refactoring>","2011-07-14 16:13:09"
"6696469","refactor this basic code that determines if number is in tens, hundreds, thousands etc","4","     if (n<100) {
         x = 10;
     } else if (n<1000) {
         x = 100;
     } else if (n<10000) {
         x = 1000;
     } else if (n....

etc. etc. 

Is there a nice concise, scalable method for this type of problem? My brain has decided to stop working. ","2011-07-14 16:22:52"
"7412535","refactoring long methods with fluent interfaces","4","refactoring long methods with fluent interfaces","2011-09-14 07:11:07"
