Id,Title,Score,Body,CreationDate
"9084397","refactoring jquery selector expression","4","<p>Is there a way that I can write the following selector in a less verbose fashion (the parent id is being repeated again and again).</p>

<pre><code>$(""#parent_id .class1 , #parent_id .class2,...."")
</code></pre>

<p>Thanx!</p>
","2012-01-31 17:48:53"
"1215207","refactoring multiple if-else conditionals in a method","3","<p>I am in the process of refactoring my existing code. It actually works fine, but it is a bit cluttered with multiple if-else conditionals checking the value of one variable and change the value of a second variable to an updated value taken from a fixed enumeration structure.</p>

<pre><code>else if (var1 == 'valueX')
{
    if (var2 == MyEnum.A)
        var2 = MyEnum.B;
    else if (var2 == MyEnum.B)
        var2 = MyEnum.C;
    else if (var2 == MyEnum.C)
        var2 = MyEnum.D;
    else if (var2 == MyEnum.D)
        var2 = MyEnum.A;
}

else if (....)
{
..similar block of conditionals
}
</code></pre>

<p>I am a bit confused as to what is the best way to refactor and clean-up this code. Would you suggest the use of a switch perhaps? Or something more elegant?</p>

<p>Thanks in advance!</p>
","2009-07-31 22:37:28"
"29726494","refactor two $.each() loops to one","3","<p>I have a JSON object like this...</p>

<pre><code>{  
   ""tasks"":[  
      {  
         ""id"":""task_3"",
         ""taskName"":""Task A"",
         ""assignee"":""Barrack Obama"",
         ""timeReqOptimisitic"":""4"",
         ""timeReqNormal"":""8"",
         ""timeReqPessimistic"":""14"",
         ""timeUnit"":""Days"",
         ""timeReq"":""8.33"",
         ""positionX"":493,
         ""positionY"":101,
         ""lockStatus"":""unlocked""
      }
   ],
   ""milestones"":[  
      {  
         ""id"":""task_1"",
         ""milestoneName"":""Start"",
         ""positionX"":149,
         ""positionY"":109,
         ""lockStatus"":""unlocked"",
         ""milestoneDate"":""2015-04-07""
      },
      {  
         ""id"":""task_2"",
         ""milestoneName"":""Finish"",
         ""positionX"":989,
         ""positionY"":367,
         ""lockStatus"":""unlocked"",
         ""milestoneDate"":""2015-04-22""
      }
   ],
   ""connections"":[  
      {  
         ""connectionId"":""con_10"",
         ""pageSourceId"":""task_1"",
         ""pageTargetId"":""task_3""
      },
      {  
         ""connectionId"":""con_20"",
         ""pageSourceId"":""task_3"",
         ""pageTargetId"":""task_2""
      }
   ]
}
</code></pre>

<p>...this is a minimal version. In practice, there are numerous items in ""tasks"", ""milestones"" and ""connections"". </p>

<p>I need to iterate through the object and determine the ""id"" of the ""milestones"" item with the lowest/earliest ""milestoneDate"", then identify the ""connections"" item that has the same value for its ""pageSourceId"" and return its ""pageTargetId"".</p>

<p>So in the above example:</p>

<p>Step 1)  Iterate through the object and determine the ""id"" of the ""milestones"" item with the lowest/earliest ""milestoneDate"".</p>

<p><code>Answer: milestones.id = ""task_1""</code></p>

<p>Step 2) Identify the ""connections"" item that has the same value for its ""pageSourceId"".</p>

<p><code>Answer: connections.pageSourceId = ""task_1""</code></p>

<p>Step 3) Return its ""pageTargetId"".</p>

<p><code>Answer: ""task_3""</code></p>

<p>I have a working example <a href=""http://jsfiddle.net/sruvtwre/"" rel=""nofollow"">here</a>. However, I would like to know if there is a way to accomplish this without using the extremely high start date and also in one loop.</p>
","2015-04-19 06:17:15"
"1582256","refactoring in iSeries (RPG), is it realistic","3","<p>Implementing agile in projects requires the ability to do refactoring. It is not really a must, but code refactoring has proven to be a good engineering practice.</p>

<p>In an agile (Scrum) project on the iSeries platform, which requires development (new code and modifications to legacy code) in RPG, RPG LE, is it possible to implement refactoring? If so what are the techniques to do it?</p>

<p>If someone who has tried it could share their experience or just point to references, I would greatly appreciate it.</p>
","2009-10-17 13:50:37"
"18876149","refactoring mandatory map.get java code","3","<p>Please, any ideas on how to refactor this java code so I don't have to repeat those code blocks 3 (or more) times?</p>

<pre><code>Integer id = null;
try {
    id = (Integer)extradata.get(""id"");
}
catch(Exception e) {
    logger.error(e);
}

if (id == null) {
    logger.error(""no id set"");
    task.setStatus(Status.ERROR);
    DBService.updateTaskStatus(conn, false, task);
    conn.commit();
    return;
}

String name = null;
try {
    name = (String)extradata.get(""name"");
}
catch(Exception e) {
    logger.error(e);
}

if (name == null) {
    logger.error(""no name set"");
    task.setStatus(Status.ERROR);
    DBService.updateTaskStatus(conn, false, task);
    conn.commit();
    return;
}

String city = null;
try {
    city = (String)extradata.get(""city"");
}
catch(Exception e) {
    logger.error(e);
}

if (city == null) {
    logger.error(""no city set"");
    task.setStatus(Status.ERROR);
    DBService.updateTaskStatus(conn, false, task);
    conn.commit();
    return;
}
</code></pre>
","2013-09-18 15:17:29"
"39163040","refactoring postgres join vs except","3","<p>I'm trying to refactor one of my queries and I'm just not doing something quite right.</p>

<p>I would like to combine two queries and make one, but I'm confused on how it works with a LEFT JOIN.</p>

<blockquote>
  <p>All QuizMasters who have a state of ""active""</p>
</blockquote>

<p><strong>Minus (-)</strong></p>

<blockquote>
  <p>QuizMasters who have an ""active"" event on a given day (not all QuizMasters have events only ~25%).</p>
</blockquote>

<p><strong>Definitions</strong></p>

<blockquote>
  <ul>
  <li><strong>Events</strong> store <code>start_at</code> dow/wday for a given event, eg Monday-Sunday (albeit as a DateTime, only the wday and time are relevant).</li>
  <li><strong>Events</strong> and <strong>QuizMasters</strong> have states which are either <em>""active""</em> or not.</li>
  </ul>
</blockquote>

<h1>Old query (which data is correct)</h1>

<pre><code>SELECT first_name, last_name, email
FROM quiz_masters
WHERE quiz_masters.state = 'active' # (175 rows)

EXCEPT

SELECT first_name, last_name, email
FROM quiz_masters
LEFT JOIN events ON events.quiz_master_id = quiz_masters.id
WHERE quiz_masters.state = 'active'
AND EXTRACT(dow FROM events.start_at::timestamp::date) = 3 AND events.state = 'active'
GROUP BY first_name, last_name, email # (- 20 rows)
</code></pre>

<p>Total of 155 rows match the query.</p>

<h1>Combined query which doesn't work</h1>

<p>I would like to combine them into something like:</p>

<pre><code>SELECT first_name, last_name, email
FROM quiz_masters
LEFT JOIN events ON events.quiz_master_id = quiz_masters.id
WHERE quiz_masters.state = 'active'
AND events.quiz_master_id IS null
OR (EXTRACT(dow FROM events.start_at::timestamp::date) &lt;&gt; 3 AND events.state = 'active')
GROUP BY first_name, last_name, email
</code></pre>

<p>144 Rows (missing 11 rows)</p>

<p>But I'm not sure how to keep all the rows from some <code>quiz_masters</code> who are active but have no event whatsoever.  It still removes them.  Maybe I need some other kind of join?</p>
","2016-08-26 09:31:58"
"494881","refactor this dictionary-to-xml converter in python","3","<p>It's a small thing, really: I have this function that converts dict objects to xml.</p>

<p>Here's the function:</p>

<pre><code>def dictToXml(d):
    from xml.sax.saxutils import escape

    def unicodify(o):
        if o is None:
            return u'';
        return unicode(o)

    lines = []
    def addDict(node, offset):
        for name, value in node.iteritems():
            if isinstance(value, dict):
                lines.append(offset + u""&lt;%s&gt;"" % name)
                addDict(value, offset + u"" "" * 4)
                lines.append(offset + u""&lt;/%s&gt;"" % name)
            elif isinstance(value, list):
                for item in value:
                    if isinstance(item, dict):
                        lines.append(offset + u""&lt;%s&gt;"" % name)
                        addDict(item, offset + u"" "" * 4)
                        lines.append(offset + u""&lt;/%s&gt;"" % name)
                    else:
                        lines.append(offset + u""&lt;%s&gt;%s&lt;/%s&gt;"" % (name, escape(unicodify(item)), name))
            else:
                lines.append(offset + u""&lt;%s&gt;%s&lt;/%s&gt;"" % (name, escape(unicodify(value)), name))

    addDict(d, u"""")
    lines.append(u"""")
    return u""\n"".join(lines)
</code></pre>

<p>For example, it converts this dictionary</p>

<pre><code>{ 'site': { 'name': 'stackoverflow', 'blogger': [ 'Jeff', 'Joel' ] } }
</code></pre>

<p>to:</p>

<pre><code>&lt;site&gt;
    &lt;name&gt;stackoverflow&lt;/name&gt;
    &lt;blogger&gt;jeff&lt;/blogger&gt;
    &lt;blogger&gt;joel&lt;/blogger&gt;
&lt;/site&gt;
</code></pre>

<p>It works, but the <code>addDict</code> function looks a little too repetitive. I'm sure there's a way to refactor it into 3 co-recursive functions named <code>addDict</code>, <code>addList</code> and <code>addElse</code>, but my brain is stuck. Any help?</p>

<p>Also, any way to get rid of the <code>offset +</code> thing in every line would be nice.</p>

<p><strong>NOTE</strong>: I chose these semantics because I'm trying to match the behavior of the <a href=""http://www.json.org/javadoc/org/json/XML.html#toString(java.lang.Object)"" rel=""nofollow noreferrer"">json-to-xml converter</a> in <a href=""http://www.json.org/java/index.html"" rel=""nofollow noreferrer"">org.json</a>, which I use in a different part of my project. If you got to this page just looking for a dictionary to xml converter, there are some really good options in some of the answers. (Especially <a href=""http://foss.cpcc.edu/pyfo/"" rel=""nofollow noreferrer"">pyfo</a>).</p>
","2009-01-30 08:33:12"
"5233063","refactor/rename script for rails 3","3","<p>Is there a refactor/rename script similar to <a href=""https://github.com/hiroshi/script-refactor"" rel=""nofollow"">https://github.com/hiroshi/script-refactor</a> that works with rails 3?</p>
","2011-03-08 13:23:43"
"9463245","refactor LINQ function","3","<p>How could I refactor this function so it could take any many to many parameters?</p>

<p>Program has many to many parameters as in Age, Color, etc...</p>

<p>So I have this function:</p>

<pre><code>public int GetAgesOnProgram(IEnumerable&lt;Program&gt; ProgramList)
{
    return (from x in ProgramList
        where x.Ages.Any()
        select x.Ages).Count();
}
</code></pre>

<p>but I also need this one:</p>

<pre><code>public int GetColorsOnProgram(IEnumerable&lt;Program&gt; ProgramList)
{
    return (from x in ProgramList
        where x.Colors.Any()
        select x.Colors).Count();
}
</code></pre>

<p>As I have up to 10 many to many relationships in Program, I guess it makes sense to have a single function that handles that?</p>

<p>EDIT:
How could I return the Age or Color List, rather than an int as in:</p>

<pre><code>public IEnumerable&lt;Color&gt; GetColorsOnProgram(IEnumerable&lt;Program&gt; ProgramList)
{
    return (from x in ProgramList
        where x.Colors.Any()
        select x.Colors);
}
</code></pre>
","2012-02-27 10:12:31"
"7707673","refactoring javascript. decouple markup or separate modules","3","<p>I'm trying to make a large (~10K lines) javascript code base more maintainable.  Pretty much all of the code is contained in one massive class.  I want to do some refactoring, but I don't want to completely rewrite the code.  </p>

<p>I have two ideas for how to re-organize the code, but I'm not sure which one is best. (I'm very open to other ideas too)  What do you think about each of these approaches?  How would you decide which is best?</p>

<p>Idea 1 – Decouple markup from business logic.
We have a somewhat complicated set of rules for what and how things should be displayed to users.  This approach would split that into ""What do we display?"" and ""How do we display it?""</p>

<p>Idea 2 – Break apart separate components into their own class. 
There are several somewhat disjoint components in this code.  If this code base were Facebook's – this approach would involve pulling apart the code for photos and the newsfeed.</p>
","2011-10-10 01:10:01"
"4481660","refactor my array sorting function","2","<p>So, how to make it more compact?</p>

<pre><code>   public static boolean isDirectOrder( int[] data )
   {
      boolean answer = true;

      if ( ( data != null ) &amp;&amp; ( data.length &gt; 1 ) )
      {
         int last = data[0];

         for (int i = 0; i &lt; data.length; i++)
         {
            if ( last &lt;= data[i] )
            {
               last = data[i];
            }
            else
            {
               answer = false;
               break;
            }
         }
      }

      return answer;
   }
</code></pre>

<p>maybe exist standard tools for same checking?</p>
","2010-12-19 04:55:54"
"28676668","refactoring rails redirects with multiple ifs","2","<p>In the app I am working on, the user can get to a new form from several different places. I need to redirect them back to where they came from. I solved it by passing a parameter in the link on the view, for example</p>

<pre><code>= link_to ""create a new post »"", new_user_post_path(@current_user, :return_to =&gt; 'dashboard')
</code></pre>

<p>then in the new action in the controller like so</p>

<pre><code>if params[:return_to] == 'dashboard'
  session[:return_to]= 'dashboard'
end
</code></pre>

<p>now I am looking at the controller. what I need to do I can achieve by being really verbose, but I'm looking for a more elegant solution. Here is what I have now</p>

<pre><code>if @user_post.save
  flash[:notice] = ""New Post Created""
  if session[:return_to] == 'dashboard'
    session.delete(:return_to)
    redirect_to dashboard_path and return
  else
  redirect_to user_hub_path(@user)
 end
else
  flash[:error] = ""Could not save post""
  redirect_to new_user_post_path(@user)
end
</code></pre>

<p>This does what I need but I was hoping to tidy it up a little. I started looking at 1 line enumerators to see if I could do something like this...</p>

<pre><code>if @user_post.save
  flash[:notice] = ""New post Created""
  session[:return_to] == 'dashboard' ? redirect_to ""#{session.delete(:return_to)}_path"" : redirect_to user_hub_path(@user)
else
  flash[:error] = ""Could not save post""
  redirect_to new_user_post_path(@user)
end
</code></pre>

<p>but it really doesn't like this part....redirect_to ""#{session.delete(:return_to)}_path""</p>

<p>any advice? Guess I'm trying to get it to redirect and delete the session in one line and this is beyond my knowledge...</p>
","2015-02-23 15:00:58"
"10512040","refactor nested switch to objects","2","<p>I'd like some advice on refactoring the following method:</p>

<pre><code>public boolean makeDecision(String group, int level, int primaryAmount, int secondaryAmount)
{
    if (group.equals(""A""))
    {
        switch (level)
        {
            case 0 : return primaryAmount &gt; 10000;break;
            case 1 : return primaryAmount &gt; 20000;break;
            default : return secondaryAmount &gt; 30000; break;
        }
    }
    else if (group.equals(""B""))
    {
         switch (level)
         {
              case 0 : return primaryAmount &gt; 40000;break;
              case 1 : return primaryAmount &gt; 50000;break;
              default : return secondaryAmount &gt; 60000; break;
         }

    }
    else if (group.equals(""C""))
    {
        switch(level)
        {
            case 0 : return primaryAmount &gt; 70000;break;
            case 1 : return primaryAmount &gt; 80000;break;
            default : return secondaryAmount &gt; 90000; break;
        }

    }
    return false;
} 
</code></pre>

<p>What I'd like to achieve:</p>

<ul>
<li>Allow the code to follow the open/closed principle as there will be more groups / levels in time. </li>
<li>Remove the duplication in the 'level' switch statement. </li>
<li>Ideally remove the 'group' top level switch statement.</li>
</ul>
","2012-05-09 07:57:46"
"8898779","refactoring #ifndef __OBJC_GC_ in arc enabled app","2","<p>I'm writing an app in an ARC environment, and I'm trying to use a 3rd party library that was written before ARC. I'm using the -fno-objc-arc flags on all the relevant files, so it's compiling, but the project uses #ifndef __OBJC_GC_ blocks to release memory, which is causing memory allocation errors. I'm trying to determine the right solution, and so far I have the following:</p>

<p>1.) find a different library or write my own - this is the only free library of it's kind, so this is obviously not ideal, and I'm new enough that I don't feel comfortable tackling that</p>

<p>2.) remove the #ifndef blocks and cross my fingers - not able to work on the project today, but that's my next plan</p>

<p>3.) refactor the code to be ARC compliant and remove the -fno-objc-arc flags</p>

<p>is #2 likely to work? How hard would #3 be, andwould it actually cause the compiler to define __OBJC_GC_? (there's about 4-5 classes that I'm planning on using, but they're pretty sizeable)</p>
","2012-01-17 17:11:07"
"4869800","refactoring generated action code in the controller","2","<p>If I generate a scaffold I get the standard actions index, new, show, create .... all of which contain a line e.g. like  </p>

<pre><code>@comment = Comment.find(params[:id])
</code></pre>

<p>Does it make sense to put this line in a seperate method into the controller like</p>

<pre><code>def load
@comment = Comment.find(params[:id])
end
</code></pre>

<p>Is this an advantage? Thx for your time</p>
","2011-02-02 01:12:28"
"15412265","refactoring modular structures in D","2","<p>Here's how I usually develop an application:</p>

<ul>
<li>I start with having all the code in a single source file.</li>
<li>When it grows enough to be modularised, I break the code into several modules.</li>
<li>When the modules grow enough, I split them again. And so on, iteratively.</li>
<li>Over time, some modules get shrunk, deleted or merged with others.</li>
</ul>

<p>This workflow implies the need to move source files between modules sometimes. And here comes the problem:</p>

<p><em>When I move a module to another location, it changes the module's name, so I have to walk through all the other files renaming imports by hand.</em></p>

<p>Is there some organisational technique to avoid that annoying procedure? Or is that the way it goes and I just have to look into some automation utilities instead?</p>
","2013-03-14 14:37:56"
